DateTime,open,high,low,close,volume,quoteVolume,weightedAverage,date
2/19/2015 16:00:00,225,225,225,225,0.999999,0.00444444,225,1424361600
2/19/2015 20:00:00,225,244,225,244,45.27631367,0.18867304,239.97235466,1424376000
2/20/2015 0:00:00,244,244,244,244,0,0,244,1424390400
2/20/2015 4:00:00,240.25011809,240.25011809,240.25011568,240.25011568,10.57100509,0.044,240.25011569,1424404800
2/20/2015 8:00:00,244,245,240.25,240.25,45.32389191,0.18642935,243.11564631,1424419200
2/20/2015 12:00:00,240.25,240.25,240.25,240.25,0,0,240.25,1424433600
2/20/2015 16:00:00,240.25,240.25,240.25,240.25,0,0,240.25,1424448000
2/20/2015 20:00:00,240.25,240.25,240.25,240.25,0,0,240.25,1424462400
2/21/2015 0:00:00,240.25,240.25,240.25,240.25,0,0,240.25,1424476800
2/21/2015 4:00:00,240.25,240.25,240.25,240.25,0,0,240.25,1424491200
2/21/2015 8:00:00,240.25,240.25,240.25,240.25,0,0,240.25,1424505600
2/21/2015 12:00:00,240.25,240.25,240.25,240.25,0,0,240.25,1424520000
2/21/2015 16:00:00,245,245,245,245,14.72223865,0.06009077,245,1424534400
2/21/2015 20:00:00,245,245,245,245,0,0,245,1424548800
2/22/2015 0:00:00,245,249,245,249,4.99300143,0.02021607,246.98180358,1424563200
2/22/2015 4:00:00,249,249,249,249,0,0,249,1424577600
2/22/2015 8:00:00,245,245,245,245,4.4570302,0.01819196,245,1424592000
2/22/2015 12:00:00,245.00001722,245.00001722,244,244,51.03221976,0.20900653,244.1656716,1424606400
2/22/2015 16:00:00,235.50000711,235.50000711,235.5,235.5,48.73875501,0.20695862,235.5,1424620800
2/22/2015 20:00:00,235.001,235.001,235,235,19.90024144,0.08468181,235.00019008,1424635200
2/23/2015 0:00:00,235.00000236,235.001,235,235,93.74860118,0.39893011,235.0000635,1424649600
2/23/2015 4:00:00,235.00002596,235.00002596,235.00002596,235.00002596,0.0417266,0.00017756,235.00002596,1424664000
2/23/2015 8:00:00,235.00002596,235.00002596,235.00002596,235.00002596,0,0,235.00002596,1424678400
